city,country,name,price,rating,vote,distance
Madrid,Spain,Habitación Familiar,"SEK 1,542",Scored 6.3 ,480 reviews,7.5 km from centre
Madrid,Spain,Hostel Acacias,"SEK 1,565",Scored 6.4 ,"1,393 reviews",1.5 km from centre
Madrid,Spain,Hostel OASIS,"SEK 1,879",Scored 6.4 ,129 reviews,4.3 km from centre
Madrid,Spain,Hostel Vida Verde,"SEK 1,916",Scored 5.5 ,200 reviews,7.7 km from centre
Madrid,Spain,Hostel SOFÍA,"SEK 1,929",Scored 4.8 ,599 reviews,6.1 km from centre
Madrid,Spain,Hostel Estrella 20,"SEK 2,006",Scored 7.8 ,188 reviews,0.7 km from centre
Madrid,Spain,Madrid Downtown Hostel,"SEK 2,023",Scored 7.0 ,"4,708 reviews",0.6 km from centre
Madrid,Spain,Motion Chueca Hostel,"SEK 2,141",Scored 4.9 ,"7,060 reviews",0.6 km from centre
Madrid,Spain,Hostel sofía,"SEK 2,157",Scored 5.5 ,"2,501 reviews",6.1 km from centre
Madrid,Spain,Arc House Pop Art,"SEK 2,168",Scored 6.3 ,541 reviews,1.1 km from centre
Madrid,Spain,Debod Hostel,"SEK 2,250",Scored 8.1 ,848 reviews,1.8 km from centre
Madrid,Spain,Hostel M Torres,"SEK 2,261",Scored 8.4 ,257 reviews,11.9 km from centre
Madrid,Spain,Cibeles Hab Compartida masculina 8 X,"SEK 2,458",Scored 8.0 ,15 reviews,0.6 km from centre
Madrid,Spain,Madrid Motion Hostels,"SEK 2,480",Scored 5.9 ,"4,594 reviews",350 m from centre
Madrid,Spain,Hostels Meetingpoint,"SEK 2,493",Scored 7.0 ,"2,324 reviews",0.8 km from centre
Madrid,Spain,Petit Hostel La Latina,"SEK 2,494",Scored 8.0 ,"3,847 reviews",1.4 km from centre
Madrid,Spain,Hostel Thirty One,"SEK 2,505",Scored 5.3 ,"2,181 reviews",3.9 km from centre
Madrid,Spain,Multi Hostel Calvario,"SEK 2,516",Scored 6.9 ,321 reviews,0.6 km from centre
Madrid,Spain,Mola Hostel,"SEK 2,671",Scored 8.2 ,"4,675 reviews",300 m from centre
Madrid,Spain,Petit Hostel Palacio Real,"SEK 2,748",Scored 8.5 ,"2,983 reviews",1.2 km from centre
Madrid,Spain,min hostel capsules,"SEK 2,829",Scored 6.5 ,540 reviews,5.6 km from centre
Madrid,Spain,Hostelfly,"SEK 2,980",Scored 8.4 ,"7,000 reviews",12.6 km from centre
Madrid,Spain,1-Habitación compartida masculina 8X,"SEK 3,015",Scored 8.0 ,161 reviews,0.6 km from centre
Madrid,Spain,The Adventure Hostel Gran Vía,"SEK 3,106",Scored 7.6 ,"1,389 reviews",0.7 km from centre
Madrid,Spain,Live It Madrid Chamberi,"SEK 3,722",Scored 7.3 ,226 reviews,1.7 km from centre
